|source|db_id|table_names_original|table_names|column_names_original|column_names|column_types|foreign_keys|primary_keys|info_lst
10|경기도 광주시|publicdata_education_13524|['LIST_GGIC_POPULAR_BOOKS', 'GGGJ_BOOK_LOAN_INFO_STS']|['경기도 이천시 인기도서목록', '경기도 광주시 도서대출정보현황']|[[-1, '*'], [0, 'NUMQ'], [0, 'BOOK_NMR'], [0, 'AUTHORS'], [0, 'PUBLISHING_HOUSET'], [0, 'YEAR_ISSUE_YEARU'], [0, 'NUM_LOANSV'], [0, 'BASE_QUARTERW'], [1, 'CITY_COUNTY_NMM'], [1, 'LIBRARY_NMN'], [1, 'BOOK_NMO'], [1, 'I_S_B_N_Q'], [1, 'C_S_K_D_C_M_RC'], [1, 'DT_TIME_LOANR'], [1, 'DATA_BASE_DTS']]|[[-1, '*'], [0, '순번'], [0, '도서명'], [0, '저자'], [0, '출판사'], [0, '발행년도'], [0, '대출횟수'], [0, '기준분기'], [1, '시군명'], [1, '도서관명'], [1, '도서명'], [1, '국제표준도서번호'], [1, '분류기호 한국십진분류법'], [1, '대출일시'], [1, '데이터기준일자']]|['text', 'number', 'text', 'text', 'text', 'number', 'number', 'text', 'text', 'text', 'text', 'text', 'number', 'time', 'time']|[[10, 2]]|[]|[['NUMQ', '순번', 'number'], ['BOOK_NMR', '도서명', 'text'], ['AUTHORS', '저자', 'text'], ['PUBLISHING_HOUSET', '출판사', 'text'], ['YEAR_ISSUE_YEARU', '발행년도', 'number'], ['NUM_LOANSV', '대출횟수', 'number'], ['BASE_QUARTERW', '기준분기', 'text'], ['CITY_COUNTY_NMM', '시군명', 'text'], ['LIBRARY_NMN', '도서관명', 'text'], ['BOOK_NMO', '도서명', 'text'], ['I_S_B_N_Q', '국제표준도서번호', 'text'], ['C_S_K_D_C_M_RC', '분류기호 한국십진분류법', 'number'], ['DT_TIME_LOANR', '대출일시', 'time'], ['DATA_BASE_DTS', '데이터기준일자', 'time']]
11|경상북도|publicdata_healthcare_3922|['STS_GB_PSYCHIATRIC_INST_ETC']|['경상북도 정신의료기관 등 현황']|[[-1, '*'], [0, 'SERIAL_NUMJ'], [0, 'SORTATIONK'], [0, 'NM_ORGANIZATIONL'], [0, 'ADDRESSM'], [0, 'PHONE_NUMN']]|[[-1, '*'], [0, '연번'], [0, '구분'], [0, '기관명'], [0, '주소'], [0, '전화번호']]|['text', 'number', 'text', 'text', 'text', 'text']|[]|[]|[['SERIAL_NUMJ', '연번', 'number'], ['SORTATIONK', '구분', 'text'], ['NM_ORGANIZATIONL', '기관명', 'text'], ['ADDRESSM', '주소', 'text'], ['PHONE_NUMN', '전화번호', 'text']]
12|강원도 원주시|publicdata_healthcare_3046|['GWWJ_INSTANT_S_MANUFACTURING_PROCESSING_CO_INFO']|['강원도 원주시 즉석판매제조가공업체 정보']|[[-1, '*'], [0, 'BUSINESS_NMY'], [0, 'BUSINESS_NMZ'], [0, 'ROAD_NM_LOCA'], [0, 'LOCAL_TELEPHONE_NUMB'], [0, 'DATA_BASE_DTC']]|[[-1, '*'], [0, '업종명'], [0, '업소명'], [0, '소재지 도로명'], [0, '소재지전화'], [0, '데이터기준일']]|['text', 'text', 'text', 'text', 'text', 'time']|[]|[]|[['BUSINESS_NMY', '업종명', 'text'], ['BUSINESS_NMZ', '업소명', 'text'], ['ROAD_NM_LOCA', '소재지 도로명', 'text'], ['LOCAL_TELEPHONE_NUMB', '소재지전화', 'text'], ['DATA_BASE_DTC', '데이터기준일', 'time']]
13|한국항공우주연구원|publicdata_industrialeconomic_5599|['IMAGE_KARI_MAIN_HOMEPAGE']|['한국항공우주연구원 메인홈페이지 이미지']|[[-1, '*'], [0, 'TITLEH'], [0, 'SORTATIONI'], [0, 'PUBLIC_INTERESTJ'], [0, 'SAVED_FILESK'], [0, 'SERIAL_NUML'], [0, 'HORIZONTAL_RESOLUTIONM'], [0, 'VERTICAL_RESOLUTIONN'], [0, 'DISCLOSURE_STAO'], [0, 'NUM_VIEWSP'], [0, 'NUM_DOWNLOADSQ'], [0, 'RE_DTR'], [0, 'MODIFIED_DTS'], [0, 'MAIN_MARKING_STAT']]|[[-1, '*'], [0, '제목'], [0, '구분'], [0, '공공누리'], [0, '저장 파일명'], [0, '일련번호'], [0, '가로 해상도'], [0, '세로 해상도'], [0, '공개 여부'], [0, '조회 수'], [0, '다운로드 수'], [0, '등록 일자'], [0, '수정 일자'], [0, '메인 표기 여부']]|['text', 'text', 'text', 'text', 'text', 'number', 'number', 'number', 'text', 'number', 'number', 'text', 'text', 'text']|[]|[]|[['TITLEH', '제목', 'text'], ['SORTATIONI', '구분', 'text'], ['PUBLIC_INTERESTJ', '공공누리', 'text'], ['SAVED_FILESK', '저장 파일명', 'text'], ['SERIAL_NUML', '일련번호', 'number'], ['HORIZONTAL_RESOLUTIONM', '가로 해상도', 'number'], ['VERTICAL_RESOLUTIONN', '세로 해상도', 'number'], ['DISCLOSURE_STAO', '공개 여부', 'text'], ['NUM_VIEWSP', '조회 수', 'number'], ['NUM_DOWNLOADSQ', '다운로드 수', 'number'], ['RE_DTR', '등록 일자', 'text'], ['MODIFIED_DTS', '수정 일자', 'text'], ['MAIN_MARKING_STAT', '메인 표기 여부', 'text']]
14|경상남도 진주시|publicdata_transportation_3631|['GNJJ_BUS_INFO_GUIDE_I_STS']|['경상남도 진주시 버스정보안내기 설치현황']|[[-1, '*'], [0, 'NUMB'], [0, 'BUS_STOPC'], [0, 'NM_BUS_STOPD'], [0, 'DIRECTIONE'], [0, 'SORTATIONF'], [0, 'ADDRESSG'], [0, 'INS_YEARH'], [0, 'DATA_BASE_DTI']]|[[-1, '*'], [0, '순번'], [0, '정류장아이디'], [0, '정류장명칭'], [0, '방향'], [0, '구분'], [0, '주소'], [0, '설치년도'], [0, '데이터기준일']]|['text', 'number', 'number', 'text', 'text', 'text', 'text', 'text', 'time']|[]|[]|[['NUMB', '순번', 'number'], ['BUS_STOPC', '정류장아이디', 'number'], ['NM_BUS_STOPD', '정류장명칭', 'text'], ['DIRECTIONE', '방향', 'text'], ['SORTATIONF', '구분', 'text'], ['ADDRESSG', '주소', 'text'], ['INS_YEARH', '설치년도', 'text'], ['DATA_BASE_DTI', '데이터기준일', 'time']]
15|경기도 안양시|publicdata_transportation_2774|['C_STS_GGAY_SPACE_INFO_SYS_SPEED_BARRIER']|['경기도 안양시 공간정보시스템 과속방지턱 현황']|[[-1, '*'], [0, 'MANAGEMENT_NUMY'], [0, 'STORM_SURGEZ'], [0, 'EXTA'], [0, 'JURISDICTIONB'], [0, 'INS_DTC']]|[[-1, '*'], [0, '관리번호'], [0, '폭원'], [0, '연장'], [0, '관할지역'], [0, '설치일자']]|['text', 'number', 'number', 'number', 'text', 'time']|[]|[]|[['MANAGEMENT_NUMY', '관리번호', 'number'], ['STORM_SURGEZ', '폭원', 'number'], ['EXTA', '연장', 'number'], ['JURISDICTIONB', '관할지역', 'text'], ['INS_DTC', '설치일자', 'time']]
16|한국철도공사|publicdata_transportation_6671|['STS_KORAIL_FREIGHT_STATION']|['한국철도공사 화물역 현황']|[[-1, '*'], [0, 'AREAX'], [0, 'STATION_NMY']]|[[-1, '*'], [0, '지역'], [0, '역명']]|['text', 'text', 'text']|[]|[]|[['AREAX', '지역', 'text'], ['STATION_NMY', '역명', 'text']]
17|국제식물검역인증원|publicdata_transportation_618|['STS_AGM_INSPECTION_IPAB_VESSELS']|['국제식물검역인증원 선박 AGM 검사 현황 및 통계정보']|[[-1, '*'], [0, 'INSPECTION_YEAR'], [0, 'TYPE_SHIP'], [0, 'SHIP_WEIGHT'], [0, 'INSPECTION_FEE_KRW_1_000'], [0, 'NUMBER_CASES_DEFAULT'], [0, 'NUMBER_CASES_SURCHARGE']]|[[-1, '*'], [0, '검사년도'], [0, '선박 종류'], [0, '선박 중량'], [0, '검사수수료 천원'], [0, '건수 기본'], [0, '건수 할증']]|['text', 'number', 'text', 'text', 'number', 'number', 'number']|[]|[]|[['INSPECTION_YEAR', '검사년도', 'number'], ['TYPE_SHIP', '선박 종류', 'text'], ['SHIP_WEIGHT', '선박 중량', 'text'], ['INSPECTION_FEE_KRW_1_000', '검사수수료 천원', 'number'], ['NUMBER_CASES_DEFAULT', '건수 기본', 'number'], ['NUMBER_CASES_SURCHARGE', '건수 할증', 'number']]
18|한국도로공사|publicdata_transportation_10354|['EX_HI_PASS_TERMINAL_S_OFFICE_INFO', 'HIGH_PASS_UTILIZATION_RATIO_EX_S_OFFICE']|['한국도로공사 하이패스 단말기 영업소 정보', '한국도로공사 영업소별 하이패스 이용비율']|[[-1, '*'], [0, 'HEADQUARTERS'], [0, 'NAME'], [0, 'BUSINESS_CALL'], [0, 'PHONE_NUMBER'], [0, 'FAX_NUMBER'], [0, 'ZIP_CODE'], [0, 'ADDRESS'], [1, 'DIVISION'], [1, 'BUSINESS_OFFICE'], [1, 'HIGH_PASS_USAGE_RATE'], [1, 'NOTE']]|[[-1, '*'], [0, '본부명'], [0, '지사명'], [0, '영업소명'], [0, '전화번호'], [0, '팩스번호'], [0, '우편번호'], [0, '주소'], [1, '구분'], [1, '영업소'], [1, '하이패스 이용비율'], [1, '비고']]|['text', 'text', 'text', 'text', 'text', 'text', 'text', 'text', 'number', 'text', 'number', 'text']|[[9, 3]]|[]|[['HEADQUARTERS', '본부명', 'text'], ['NAME', '지사명', 'text'], ['BUSINESS_CALL', '영업소명', 'text'], ['PHONE_NUMBER', '전화번호', 'text'], ['FAX_NUMBER', '팩스번호', 'text'], ['ZIP_CODE', '우편번호', 'text'], ['ADDRESS', '주소', 'text'], ['DIVISION', '구분', 'number'], ['BUSINESS_OFFICE', '영업소', 'text'], ['HIGH_PASS_USAGE_RATE', '하이패스 이용비율', 'number'], ['NOTE', '비고', 'text']]
19|한국사회복지협의회|publicdata_welfare_5181|['INFO_KSSN_DOMESTIC_SOCIAL_CONTRIBUTION_RELATED_INST']|['한국사회복지협의회 국내 사회공헌 관련기관 정보']|[[-1, '*'], [0, 'GROUP_NMQ'], [0, 'NM_REPRESENTATIVER'], [0, 'REPRESENTATIVE_ADDRESSS']]|[[-1, '*'], [0, '단체명'], [0, '대표자명'], [0, '대표 주소']]|['text', 'text', 'text', 'text']|[]|[]|[['GROUP_NMQ', '단체명', 'text'], ['NM_REPRESENTATIVER', '대표자명', 'text'], ['REPRESENTATIVE_ADDRESSS', '대표 주소', 'text']]
20|경기도 시흥시|publicdata_welfare_3403|['STS_GG_SU_JOB_PRO_ELDERLY']|['경기도 시흥시 노인일자리사업현황']|[[-1, '*'], [0, 'PERFORMING_ORGANIZATIONN'], [0, 'TYPEO'], [0, 'BUSINESS_NMP'], [0, 'ASSIGNED_NUM_PEOPLEQ'], [0, 'CONTENTR'], [0, 'DATA_BASE_DTS']]|[[-1, '*'], [0, '수행기관'], [0, '유형'], [0, '사업명'], [0, '배정인원'], [0, '내용'], [0, '데이터 기준일자']]|['text', 'text', 'text', 'text', 'number', 'text', 'time']|[]|[]|[['PERFORMING_ORGANIZATIONN', '수행기관', 'text'], ['TYPEO', '유형', 'text'], ['BUSINESS_NMP', '사업명', 'text'], ['ASSIGNED_NUM_PEOPLEQ', '배정인원', 'number'], ['CONTENTR', '내용', 'text'], ['DATA_BASE_DTS', '데이터 기준일자', 'time']]
21|사립학교교직원연금공단|publicdata_welfare_232|['PERFORMANCE_TP_AFFILIATE_WELFARE_SERVICE']|['사립학교교직원연금공단 제휴복지 서비스 이용실적 무료법률자문서비스 제외']|[[-1, '*'], [0, 'DIVISION'], [0, 'REGION'], [0, 'COMPANY_NAME'], [0, 'Y_2020'], [0, 'Y_2021']]|[[-1, '*'], [0, '구분'], [0, '지역'], [0, '업체명'], [0, '2020'], [0, '2021']]|['text', 'text', 'text', 'text', 'number', 'number']|[]|[]|[['DIVISION', '구분', 'text'], ['REGION', '지역', 'text'], ['COMPANY_NAME', '업체명', 'text'], ['Y_2020', '2020', 'number'], ['Y_2021', '2021', 'number']]
